Time,H1_Mag,H1_Sigma,H2_Mag,H2_Sigma,H3_Mag,H3_Sigma,H4_Mag,H4_Sigma,H5_Mag,H5_Sigma,H6_Mag,H6_Sigma,H7_Mag,H7_Sigma,H8_Mag,H8_Sigma,H9_Mag,H9_Sigma,H10_Mag,H10_Sigma
0.05,-104.30147289848324,318.3682511371932,-94.75475038718824,196.24875907226414,-99.78321726629561,289.9735478659759,-101.29439660200421,115.82525502135506,-103.25672406967647,-210.01691221392974,-100.44907245223742,358.73613436510766,-112.90011015258489,-603.6268033011906,-114.1227361008235,693.811461139145,-114.19833762235697,105.53815473485781,-116.85589922702522,101.22350614295948
0.05015096744707719,-103.49962064427406,412.56856692173096,-94.48121490478594,209.8845085813824,-99.41889307870002,266.80758394308936,-101.14987017966853,103.59045559754944,-103.50584682463227,-236.72339479244545,-99.99619731917551,345.4896099084831,-113.65201818939332,-563.2699375851868,-113.3474203565542,651.2203661939444,-114.07857141079619,82.8708881749263,-116.74209757711412,78.44541177959854
0.05030193489415438,-102.55776308966068,498.82618807094707,-94.19009388715912,222.13114468935493,-99.0850568210371,244.3682498929168,-101.02100528309164,91.51804506614934,-103.78872732155186,-256.0979133911138,-99.56111256155134,330.87616268761406,-114.51681268321967,-495.0904664110386,-112.62322511593241,598.952349510648,-113.99007104661798,59.805519963227766,-116.65988529341546,55.26599137524499
0.05045290234123157,-101.54550341153039,574.0942384587186,-93.88397395659914,232.77022146123576,-98.77948949173971,222.38581745604824,-100.907329480368,79.67172674982847,-104.10392902091768,-265.25016443580256,-99.14492678196784,315.33419179899033,-115.49832435341015,-403.8677591982189,-111.94737774639484,544.6592380847351,-113.93429087030555,36.32991906068581,-116.61020951297209,31.624612442897416
0.05060386978830876,-100.52184666635804,635.4412076506383,-93.56543854525206,241.63966615652083,-98.50201872444275,200.65708429150456,-100.80846788162783,68.14617634742402,-104.44818334742955,-262.1647110149195,-98.74873949531302,299.1931256303452,-116.57764923655655,-294.2943806347639,-111.31724764299224,494.14472540527277,-113.9116460091264,12.453939753961624,-116.59437668993237,7.549823947768434
0.050754837235385944,-99.52470738346919,680.1734948327894,-93.23738683141687,248.63669381225893,-98.2517091608824,179.03857384527987,-100.72397423702715,57.05668186559916,-104.81521288681785,-245.88643057323,-98.37307522561251,282.7067520244829,-117.68278561874001,-170.7818617006203,-110.72995737495168,449.8772714504832,-113.92441788967291,-11.668271707323033,-116.61420795322917,-16.811039681568115
0.050905804682463134,-98.56574314481779,706.086980441266,-92.90244422140591,253.71742257826276,-98.02964810390336,157.4282397450248,-100.65342873856942,46.53309248013924,-105.19449374324982,-216.45065740295416,-98.01801217306013,266.04286398730994,-118.63050737989441,-37.481293944472284,-110.18313906736289,411.6658181651496,-113.9745138424924,-35.519630866455955,-116.6716121704861,-41.02259701900017
0.05105677212954032,-97.65998442015159,711.9123761673832,-92.563297953102,256.89414388971227,-97.83719509676423,135.7617975100761,-100.59628178038916,36.726100676253196,-105.56965700098087,-174.6912662639684,-97.68377186692065,249.28133657601845,-119.10807006260781,101.56305973107004,-109.67487351464081,378.21434198275705,-114.06396835590535,-57.86885894516502,-116.7692931386834,-64.06478302237325
0.05120773957661751,-96.80470486084855,697.8892784534469,-92.22238895616859,258.22816010525116,-97.67467351251146,113.97385996316513,-100.55154017805066,27.82484004741488,-105.91672683174586,-122.02842639831579,-97.37082682133992,232.4495804499007,-118.85200980332263,242.37824013849087,-109.20327429771118,348.1720519109917,-114.19634969618892,-75.6350610679798,-116.91031297405446,-83.85059851010321
0.0513587070236947,-96.00279646379879,666.4770515998921,-91.88195659728567,257.82166354040737,-97.54282909096702,91.98162252689464,-100.51789164938563,20.06952179885335,-106.20352954918269,-60.2855007374808,-97.07948604646067,215.55986594716703,-117.88974068767894,381.07001175681927,-108.7668020373387,320.4737513013083,-114.3751294256065,-80.27043893525156,-117.09852647656989,-97.96347392768932
0.05150967447077189,-95.25100079497645,622.5592691390555,-91.54408061179284,255.80717012294332,-97.44163076818931,69.68435233883434,-100.49392042943052,13.744741464064115,-106.3917416738669,8.451550276349224,-96.80973212458073,198.61343216853325,-116.49491935169155,513.714285714208,-108.36434447111854,294.3658988435675,-114.60472112735701,-52.23086409529209,-117.33876259130581,-130.3196868826935
0.05166064191784908,-94.54634549477714,572.6710006583772,-91.2105569883473,252.33681425653936,-97.37055041801095,46.95976061731512,-100.47802599533179,9.15661342067151,-106.4426200190009,81.93529499612953,-96.56157261895707,181.5867603358651,-114.95704287612328,636.2359384618396,-107.99487901872759,269.34870236178824,-114.89126400572661,-166.73216550133418,-117.63688442990727,-292.72791305338865
0.05181160936492627,-93.88747087324,523.102990586347,-90.88300750782078,247.5723237979602,-97.33009147947237,23.68133774770964,-100.46830771832923,6.60702269396678,-106.3262261600638,157.82716943309788,-96.33532207951826,164.4335043013298,-113.44833978926077,744.3975499019609,-107.65754391974583,245.07836705944686,-115.24173710415756,-525.8870983922378,-118.00041196777245,-579.2101774633827
0.051962576812003454,-93.2698699896158,477.95698327779314,-90.56286598910667,241.67581822982598,-97.32128518573755,-0.2605834548406438,-100.4625041808062,6.3750268351213855,-106.0308834678114,233.74751382609867,-96.13138397915186,147.10256041070372,-112.03733512558267,833.7948559996345,-107.35186578668952,221.29004406780095,-115.665163960678,-888.4530964306191,-118.43891312626005,-823.4763426642451
0.052113544259080644,-92.69261426019416,438.58444952638484,-90.2513204832643,234.80283355209488,-97.34571116911891,-24.956247514465836,-100.45780081527778,8.706105737320325,-105.56743248146358,307.3157693380789,-95.94992461195787,129.54535451701008,-110.74041240713794,899.7850502632162,-107.07755659692458,197.77596806567553,-116.17401322764486,-1062.919582671399,-118.96468355532792,-954.1441594312837
